DateTime,holiday,weather,temperature,humidity,windspeed,cnt
1/1/2011 0:00,0,1,-1.334609187,0.947345243,-1.553843805,16
1/1/2011 1:00,0,1,-1.43847501,0.895512928,-1.553843805,40
1/1/2011 2:00,0,1,-1.43847501,0.895512928,-1.553843805,32
1/1/2011 3:00,0,1,-1.334609187,0.636351351,-1.553843805,13
1/1/2011 4:00,0,1,-1.334609187,0.636351351,-1.553843805,1
1/1/2011 5:00,0,2,-1.334609187,0.636351351,-0.821460018,1
1/1/2011 6:00,0,1,-1.43847501,0.895512928,-1.553843805,2
1/1/2011 7:00,0,1,-1.542340833,1.20650682,-1.553843805,3
1/1/2011 8:00,0,1,-1.334609187,0.636351351,-1.553843805,8
1/1/2011 9:00,0,1,-0.919145895,0.688183667,-1.553843805,14
1/1/2011 10:00,0,1,-0.607548426,0.688183667,0.519881272,36
1/1/2011 11:00,0,1,-0.711414249,0.947345243,0.764281666,56
1/1/2011 12:00,0,1,-0.39981678,0.740015982,0.764281666,84
1/1/2011 13:00,0,2,-0.192085134,0.480854405,0.886073166,94
1/1/2011 14:00,0,2,-0.192085134,0.480854405,0.764281666,106
1/1/2011 15:00,0,2,-0.295950957,0.740015982,0.886073166,110
1/1/2011 16:00,0,2,-0.39981678,0.999177559,0.886073166,93
1/1/2011 17:00,0,2,-0.295950957,0.999177559,0.764281666,67
1/1/2011 18:00,0,3,-0.39981678,1.310171451,0.519881272,35
1/1/2011 19:00,0,3,-0.39981678,1.310171451,0.519881272,37
1/1/2011 20:00,0,2,-0.503682603,1.258339135,0.519881272,36
1/1/2011 21:00,0,2,-0.503682603,1.258339135,0.031897878,34
1/1/2011 22:00,0,2,-0.503682603,1.621165343,0.276298272,28
1/1/2011 23:00,0,2,-0.192085134,1.310171451,0.886073166,39
1/2/2011 0:00,0,2,-0.192085134,1.310171451,0.886073166,17
1/2/2011 1:00,0,2,-0.295950957,1.621165343,0.519881272,17
1/2/2011 2:00,0,2,-0.39981678,1.932159235,0.764281666,9
1/2/2011 3:00,0,2,-0.192085134,1.621165343,0.031897878,6
1/2/2011 4:00,0,2,-0.192085134,1.621165343,0.031897878,3
1/2/2011 6:00,0,3,-0.39981678,0.740015982,0.886073166,2
1/2/2011 7:00,0,2,-0.503682603,0.688183667,0.031897878,1
1/2/2011 8:00,0,3,-0.503682603,0.42902209,0.276298272,8
1/2/2011 9:00,0,2,-0.607548426,0.688183667,0.276298272,20
1/2/2011 10:00,0,2,-0.711414249,0.947345243,0.276298272,53
1/2/2011 11:00,0,2,-0.711414249,0.42902209,0.519881272,70
1/2/2011 12:00,0,2,-0.711414249,0.169860513,0.886073166,93
1/2/2011 13:00,0,2,-0.711414249,0.169860513,-0.456085516,75
1/2/2011 14:00,0,3,-0.711414249,0.688183667,0.031897878,59
1/2/2011 15:00,0,3,-0.815280072,0.947345243,-0.211685123,74
1/2/2011 16:00,0,3,-0.815280072,0.42902209,-0.211685123,76
1/2/2011 17:00,0,1,-0.815280072,-0.296630325,0.031897878,65
1/2/2011 18:00,0,2,-0.711414249,-0.866785794,1.13047356,53
1/2/2011 19:00,0,1,-0.919145895,-1.074115055,2.106440348,30
1/2/2011 20:00,0,1,-1.023011718,-1.229612001,1.374056561,22
1/2/2011 21:00,0,1,-1.230743364,-0.970450425,1.13047356,31
1/2/2011 22:00,0,1,-1.334609187,-0.970450425,0.886073166,9
1/2/2011 23:00,0,1,-1.43847501,-0.814953479,-0.211685123,8
1/3/2011 0:00,0,1,-1.43847501,-0.970450425,1.374056561,5
