Date,Stock,Adj Close,High,Low,Volume
2019-01-02,AMC,11.91432571,13.07999992,11.89999962,1374900
2019-01-02,BBBY,11.13100433,12.15999985,11.14000034,8514400
2019-01-02,GME,3.160276175,3.295000076,3.105000019,8496800
2019-01-02,GOOGL,52.73400116,53.03950119,51.26399994,31868000
2019-01-02,TSLA,20.67466736,21.00866699,19.92000008,174879000
2019-01-03,AMC,12.07145786,13.53999996,12.63000011,1392400
2019-01-03,BBBY,10.6757288,12.14000034,11.47000027,6879700
2019-01-03,GME,3.136096716,3.315000057,3.172499895,7001600
2019-01-03,GOOGL,51.27349854,53.31299973,51.11849976,41960000
2019-01-03,TSLA,20.02400017,20.62666702,19.82533264,104478000
2019-01-04,AMC,12.51512432,13.68999958,13.02000046,1025000
2019-01-04,BBBY,11.10313034,12.14000034,11.59000015,5814200
2019-01-04,GME,3.684973955,3.82249999,3.424999952,47662800
2019-01-04,GOOGL,53.9034996,54,51.8429985,46022000
2019-01-04,TSLA,21.17933273,21.20000076,20.18199921,110911500
2019-01-07,AMC,13.0512228,14.26000023,13.36999989,1119200
2019-01-07,BBBY,11.22391605,12.35000038,11.67000008,7250600
2019-01-07,GME,3.743005037,3.952500105,3.734999895,18872000
2019-01-07,GOOGL,53.79600143,54.13499832,53.13199997,47446000
2019-01-07,TSLA,22.3306675,22.44933319,21.18333244,113268000
2019-01-08,AMC,13.46716118,14.69999981,14.09000015,1122700
2019-01-08,BBBY,10.94517708,12.18000031,11.61999989,8089700
2019-01-08,GME,3.822798014,3.972500086,3.787499905,13775200
2019-01-08,GOOGL,54.26850128,54.66749954,53.41749954,35414000
2019-01-08,TSLA,22.35666656,22.93400002,21.80133247,105127500
2019-01-09,AMC,12.8940897,14.75,13.89000034,1443600
2019-01-09,BBBY,11.39116096,12.32999992,11.81000042,18865500
2019-01-09,GME,3.863903046,4.097499847,3.930000067,14218000
2019-01-09,GOOGL,54.08250046,54.58200073,53.71849823,26998000
2019-01-09,TSLA,22.56866646,22.89999962,22.09799957,81493500
2019-01-10,AMC,12.69074249,13.92000008,13.44999981,976500
2019-01-10,BBBY,13.27729988,14.34000015,12.69999981,55190400
2019-01-10,GME,3.859067202,4,3.880000114,11619200
2019-01-10,GOOGL,53.94150162,53.9905014,53.23400116,26598000
2019-01-10,TSLA,22.99799919,23.02599907,22.11933327,90846000
2019-01-11,AMC,12.9680357,14.07999992,13.60999966,578600
2019-01-11,BBBY,14.15068245,15.56999969,14.03999996,26557700
